protein1_id	protein2_id	gene1	gene2	sources	hpa_datasets	gold_record_count	methods	publications	supporting_structures	n_ddi	n_dmi	ddi	dmi
Q00613	Q5VTR2	HSF1	RNF20	BioGRID		2	Reconstituted Complex	30649429		0	0		
Q00613	Q92793	HSF1	CREBBP	BioGRID		1	Reconstituted Complex	14960326		0	0		
Q00613	Q9UER7	HSF1	DAXX	BioGRID		1	Reconstituted Complex	20620219		0	0		
Q00653	Q01201	NFKB2	RELB	Human Protein Atlas (HPA)	intact_biogrid_opencell	0				0	0		
Q00653	Q04206	NFKB2	RELA	BioGRID;Human Protein Atlas (HPA)	biogrid_opencell	1	Reconstituted Complex	8413211		0	0		
Q00653	Q04864	NFKB2	REL	Human Protein Atlas (HPA)	intact_biogrid_opencell	0				0	0		
Q00653	Q92785	NFKB2	DPF2	BioGRID		1	Reconstituted Complex	20460684		0	0		
Q00839	Q08211	HNRNPU	DHX9	Human Protein Atlas (HPA)	biogrid_opencell	0				1	0	PF00622(SPRY domain)--PF00271(Helicase, C-terminal domain-like)[pdb=8]	
Q00839	Q09472	HNRNPU	EP300	BioGRID		1	Reconstituted Complex	11909954		0	0		
Q00839	Q92831	HNRNPU	KAT2B	BioGRID		1	Reconstituted Complex	18710935		0	0		
Q00839	Q9NR30	HNRNPU	DDX21	Human Protein Atlas (HPA)	biogrid_opencell	0				1	0	PF00622(SPRY domain)--PF00271(Helicase, C-terminal domain-like)[pdb=8]	
Q00978	Q04206	IRF9	RELA	BioGRID		1	Reconstituted Complex	8550813		0	0		
Q01094	Q02086	E2F1	SP2	BioGRID		1	Reconstituted Complex	10547281		0	0		
Q01094	Q02446	E2F1	SP4	BioGRID		1	Reconstituted Complex	10547281		0	0		
Q01094	Q02447	E2F1	SP3	BioGRID		1	Reconstituted Complex	10547281		0	0		
Q01094	Q09472	E2F1	EP300	BioGRID		1	Reconstituted Complex	9652736		0	0		
Q01094	Q12888	E2F1	TP53BP1	BioGRID		2	Reconstituted Complex	8896460		0	0		
Q01094	Q13029	E2F1	PRDM2	BioGRID		1	Reconstituted Complex	9223517		0	0		
Q01094	Q13330	E2F1	MTA1	BioGRID		1	Reconstituted Complex	30867845		0	0		
Q01094	Q13547	E2F1	HDAC1	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q01094	Q13616	E2F1	CUL1	BioGRID		1	Reconstituted Complex	10559858		0	0		
Q01094	Q13617	E2F1	CUL2	BioGRID		1	Reconstituted Complex	27153550		0	0		
Q01094	Q14186	E2F1	TFDP1	BioGRID;CORUM;Human Protein Atlas (HPA);IntAct;PDB	intact_biogrid	9	Reconstituted Complex;X-ray;affinity chromatography technology;nuclear magnetic resonance;pull down	15133492;16360038;7739537;7969176;8405995;8816798;9199321;9704927	2AZE	2	0	PF02319(E2F/DP family, winged-helix DNA-binding domain)--PF02319(E2F/DP family, winged-helix DNA-binding domain)[pdb=2] | PF16421(E2F transcription factor, CC-MB domain)--PF08781(Transcription factor DP, C-terminal)[pdb=6]	
Q01094	Q14188	E2F1	TFDP2	BioGRID		2	Reconstituted Complex	7739537;9704927		2	0	PF02319(E2F/DP family, winged-helix DNA-binding domain)--PF02319(E2F/DP family, winged-helix DNA-binding domain)[pdb=2] | PF16421(E2F transcription factor, CC-MB domain)--PF08781(Transcription factor DP, C-terminal)[pdb=6]	
Q01094	Q14686	E2F1	NCOA6	BioGRID		1	Reconstituted Complex	14638867		0	0		
Q01094	Q15744	E2F1	CEBPE	BioGRID		1	Reconstituted Complex	12947005		0	0		
Q01094	Q6PL18	E2F1	ATAD2	BioGRID		1	Reconstituted Complex	20855524		0	0		
Q01094	Q92466	E2F1	DDB2	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q01094	Q92793	E2F1	CREBBP	BioGRID		1	Reconstituted Complex	8932363		0	0		
Q01094	Q92830	E2F1	KAT2A	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q01094	Q96EB6	E2F1	SIRT1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	16892051		0	0		
Q01094	Q99856	E2F1	ARID3A	BioGRID		1	Reconstituted Complex	9780002		0	0		
Q01094	Q9Y2K7	E2F1	KDM2A	BioGRID		1	Reconstituted Complex	25029110		0	0		
Q01094	Q9Y5K5	E2F1	UCHL5	BioGRID		1	Reconstituted Complex	26396186		0	0		
Q01094	Q9Y6Q9	E2F1	NCOA3	BioGRID		1	Reconstituted Complex	15169882		0	0		
Q01105	Q03164	SET	KMT2A	BioGRID		1	Reconstituted Complex	9353299		0	0		
Q01105	Q12778	SET	FOXO1	BioGRID		1	Reconstituted Complex	27626385		0	0		
Q01105	Q13111	SET	CHAF1A	BioGRID		1	Reconstituted Complex	21209461		0	0		
Q01105	Q13887	SET	KLF5	BioGRID		1	Reconstituted Complex	14612398		0	0		
Q01105	Q9BT49	SET	THAP7	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q01167	Q09028	FOXK2	RBBP4	BioGRID		1	Reconstituted Complex	27773593		0	0		
Q01167	Q16576	FOXK2	RBBP7	BioGRID		1	Reconstituted Complex	27773593		0	0		
Q01167	Q92560	FOXK2	BAP1	BioGRID		2	Reconstituted Complex	24748658;25451922		0	0		
Q01167	Q96ST3	FOXK2	SIN3A	BioGRID		2	Reconstituted Complex	24748658;27773593		0	0		
Q01167	Q9BTC8	FOXK2	MTA3	BioGRID		1	Reconstituted Complex	27773593		0	0		
Q01167	Q9BZK7	FOXK2	TBL1XR1	BioGRID		1	Reconstituted Complex	27773593		0	0		
Q01167	Q9UKL0	FOXK2	RCOR1	BioGRID		1	Reconstituted Complex	27773593		0	0		
Q01196	Q02548	RUNX1	PAX5	BioGRID		1	Reconstituted Complex	10455134		0	0		
Q01196	Q04724	RUNX1	TLE1	BioGRID		1	Far Western	9751710		0	0		
Q01196	Q13547	RUNX1	HDAC1	BioGRID		1	Reconstituted Complex	21059642		0	0		
Q01196	Q15723	RUNX1	ELF2	BioGRID		1	Reconstituted Complex	10207087		0	0		
Q01196	Q86Y13	RUNX1	DZIP3	BioGRID		1	Reconstituted Complex	28536267		0	0		
Q01196	Q96PU4	RUNX1	UHRF2	BioGRID		1	Reconstituted Complex	28536267		0	0		
Q01196	Q99607	RUNX1	ELF4	BioGRID		1	Reconstituted Complex	10207087		0	0		
Q01196	Q9BZS1	RUNX1	FOXP3	BioGRID		2	Reconstituted Complex	17377532		0	0		
Q01196	Q9Y618	RUNX1	NCOR2	BioGRID		1	Co-crystal Structure	17560331		0	0		
Q01201	Q04206	RELB	RELA	Human Protein Atlas (HPA)	biogrid_opencell	0				1	0	PF01833(IPT domain)--PF01833(IPT domain)[pdb=61]	
Q01201	Q04864	RELB	REL	Human Protein Atlas (HPA)	biogrid_bioplex	0				1	0	PF01833(IPT domain)--PF01833(IPT domain)[pdb=61]	
Q01201	Q15910	RELB	EZH2	BioGRID		2	Reconstituted Complex	21884980		0	0		
Q01201	Q92785	RELB	DPF2	BioGRID		1	Reconstituted Complex	20460684		0	0		
Q01201	Q92922	RELB	SMARCC1	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q01201	Q96KQ7	RELB	EHMT2	BioGRID		1	Reconstituted Complex	19690169		0	0		
Q01201	Q9HC98	RELB	NEK6	BioGRID		1	Reconstituted Complex	20873783		0	0		
Q01538	Q13526	MYT1	PIN1	BioGRID		1	Reconstituted Complex	10504341		0	0		
Q01543	Q13351	FLI1	KLF1	BioGRID		1	Reconstituted Complex	12556498		0	0		
Q01658	Q14919	DR1	DRAP1	BioGRID;Human Protein Atlas (HPA);PDB	intact_biogrid	3	Reconstituted Complex;X-ray	8608938;8972183	1JFI	1	0	PF00808(Transcription factor CBF/NF-Y/archaeal histone domain)--PF00808(Transcription factor CBF/NF-Y/archaeal histone domain)[pdb=41]	
Q01658	Q16649	DR1	NFIL3	BioGRID		1	Reconstituted Complex	8836190		0	0		
Q01658	Q96ES7	DR1	SGF29	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
Q01658	Q9NRF9	DR1	POLE3	Human Protein Atlas (HPA)	intact_biogrid	0				1	0	PF00808(Transcription factor CBF/NF-Y/archaeal histone domain)--PF00808(Transcription factor CBF/NF-Y/archaeal histone domain)[pdb=41]	
Q01658	Q9NS73	DR1	MBIP	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
Q01658	Q9UJW3	DR1	DNMT3L	BioGRID		1	Reconstituted Complex	24952347		0	0		
Q01658	Q9ULM3	DR1	YEATS2	BioGRID;Human Protein Atlas (HPA)	biogrid_bioplex	1	Reconstituted Complex	18838386		0	0		
Q01826	Q09472	SATB1	EP300	BioGRID		1	Reconstituted Complex	14605447		0	0		
Q01826	Q13363	SATB1	CTBP1	BioGRID		1	Reconstituted Complex	19103759		0	0		
Q01826	Q92831	SATB1	KAT2B	BioGRID		1	Reconstituted Complex	16630892		0	0		
Q01826	Q9NRL2	SATB1	BAZ1A	BioGRID		2	Reconstituted Complex	12374985		0	0		
Q01860	Q9UJU5	POU5F1	FOXD3	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	11891324		0	0		
Q01892	Q09472	SPIB	EP300	BioGRID		1	Reconstituted Complex	11864910		0	0		
Q01892	Q92793	SPIB	CREBBP	BioGRID		2	Reconstituted Complex	11864910		0	0		
Q02078	Q02080	MEF2A	MEF2B	PDB		1	X-ray		6BYY;6BZ1	1	0	PF00319(Transcription factor, MADS-box)--PF00319(Transcription factor, MADS-box)[pdb=49]	
Q02078	Q09472	MEF2A	EP300	BioGRID;PDB		2	Reconstituted Complex;X-ray	12371907	3P57	0	0		
Q02078	Q8WUI4	MEF2A	HDAC7	BioGRID		1	Reconstituted Complex	16980305		0	0		
Q02078	Q9UJW3	MEF2A	DNMT3L	BioGRID		1	Reconstituted Complex	24952347		0	0		
Q02078	Q9UKV0	MEF2A	HDAC9	BioGRID		1	Reconstituted Complex	10748098		0	0		
Q02078	Q9UQL6	MEF2A	HDAC5	BioGRID;CORUM		2	Reconstituted Complex;coimmunoprecipitation;flag tag;western blot	10737771;10748098;12626519		0	0		
Q02080	Q9UKV0	MEF2B	HDAC9	BioGRID		1	Co-crystal Structure	15567413		0	0		
Q02086	Q99801	SP2	NKX3-1	BioGRID		1	Reconstituted Complex	16201967		0	0		
Q02386	Q13263	ZNF45	TRIM28	Human Protein Atlas (HPA)	biogrid_bioplex	0				0	0		
Q02447	Q06546	SP3	GABPA	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	11237613		0	0		
Q02447	Q14527	SP3	HLTF	BioGRID		1	Reconstituted Complex	10391891		0	0		
Q02539	Q8IUE6	H1-1	H2AC21	Human Protein Atlas (HPA)	intact_biogrid_bioplex	0				1	0	PF00538(Linker histone H1/H5, domain H15)--PF00125(Core Histone H2A/H2B/H3 domain)[pdb=3]	
Q02548	Q04727	PAX5	TLE4	BioGRID		2	Reconstituted Complex	10811620;12153506		0	0		
Q02548	Q09472	PAX5	EP300	BioGRID		1	Reconstituted Complex	21357426		0	0		
Q02548	Q9UER7	PAX5	DAXX	BioGRID		1	Reconstituted Complex	11799127		0	0		
Q02556	Q04206	IRF8	RELA	BioGRID		1	Reconstituted Complex	8550813		0	0		
Q02577	Q14469	NHLH2	HES1	BioGRID		2	Reconstituted Complex	21573214		1	0	PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)--PF00010(Myc-type, basic helix-loop-helix (bHLH) domain)[pdb=92]	
Q02880	Q13547	TOP2B	HDAC1	BioGRID		2	Reconstituted Complex	11062478;11136718		0	0		
Q02880	Q92769	TOP2B	HDAC2	BioGRID		1	Reconstituted Complex	11062478		0	0		
Q02962	Q6ZW49	PAX2	PAXIP1	BioGRID		1	Reconstituted Complex	10908331		0	0		
Q03014	Q04724	HHEX	TLE1	BioGRID		1	Reconstituted Complex	15187083		0	0		
Q03060	Q13547	CREM	HDAC1	BioGRID		2	Reconstituted Complex	17056544		0	0		
Q03060	Q92793	CREM	CREBBP	BioGRID		1	Reconstituted Complex	9006899		1	0	PF02173(Cyclic AMP-responsive element-binding protein 1-like, pKID)--PF02172(Coactivator CBP, KIX domain)[pdb=26]	
Q03060	Q9UJW3	CREM	DNMT3L	BioGRID		1	Reconstituted Complex	24952347		0	0		
Q03060	Q9Y2W7	CREM	KCNIP3	BioGRID		1	Reconstituted Complex	11094064		0	0		
Q03111	Q8N7H5	MLLT1	PAF1	BioGRID		1	Reconstituted Complex	21873227		0	0		
Q03111	Q8TEK3	MLLT1	DOT1L	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q03112	Q09028	MECOM	RBBP4	Human Protein Atlas (HPA);PDB	intact_biogrid	1	X-ray		6BW3	1	0	PF00856(SET domain)--PF00400(WD40 repeat)[pdb=14]	
Q03112	Q13363	MECOM	CTBP1	BioGRID		1	Reconstituted Complex	11313276		0	0		
Q03112	Q13485	MECOM	SMAD4	BioGRID		1	Reconstituted Complex	15849193		0	0		
Q03112	Q13547	MECOM	HDAC1	BioGRID;Human Protein Atlas (HPA)	biogrid_opencell	1	Reconstituted Complex	11552981		0	0		
Q03112	Q15797	MECOM	SMAD1	BioGRID		1	Reconstituted Complex	15849193		0	0		
Q03112	Q92769	MECOM	HDAC2	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
Q03112	Q96KQ7	MECOM	EHMT2	CORUM		0	anti tag coimmunoprecipitation	18619962		3	0	PF00856(SET domain)--PF00023(Ankyrin repeat)[pdb=3] | PF00856(SET domain)--PF00856(SET domain)[pdb=27] | PF00856(SET domain)--PF05033(Pre-SET domain)[pdb=132]	
Q03164	Q13363	KMT2A	CTBP1	BioGRID		1	Reconstituted Complex	12829790		0	0		
Q03164	Q13547	KMT2A	HDAC1	BioGRID		1	Reconstituted Complex	12829790		0	0		
Q03164	Q15291	KMT2A	RBBP5	BioGRID;Human Protein Atlas (HPA);PDB	intact_biogrid	6	EM;X-ray;Reconstituted Complex	27563068;28182322;31400120;31544921	5F6L;6KIU;6KIV;6KIX;6KIZ;6PWV;6PWW;7MBM;7MBN;7W67;7W6A;7W6I;7W6J	1	0	PF00856(SET domain)--PF00400(WD40 repeat)[pdb=14]	
Q03164	Q16594	KMT2A	TAF9	BioGRID		1	Reconstituted Complex	10821850		0	0		
Q03164	Q6NXT2	KMT2A	H3-5	PDB		1	NMR;X-ray		7W67;7W6I;7W6J;7ZEZ	1	0	PF00856(SET domain)--PF00125(Core Histone H2A/H2B/H3 domain)[pdb=18]	
Q03164	Q6P1J9	KMT2A	CDC73	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q03164	Q6PD62	KMT2A	CTR9	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	20541477		0	0		
Q03164	Q8N7H5	KMT2A	PAF1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	20541477		0	0		
Q03164	Q92793	KMT2A	CREBBP	BioGRID;PDB		7	Co-crystal Structure;NMR;X-ray;Reconstituted Complex	11259575;12205094;16799563;17707401	2LXS;2LXT;5SVH	2	0	PF00439(Bromodomain)--PF00439(Bromodomain)[pdb=1026] | PF00439(Bromodomain)--PF06001(CREB-binding protein/p300, atypical RING domain)[pdb=35]	
Q03164	Q9H7Z6	KMT2A	KAT8	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q03164	Q9UBL3	KMT2A	ASH2L	BioGRID;Human Protein Atlas (HPA);PDB	intact_biogrid	5	EM;Reconstituted Complex	26886794;27563068;28182322;31544921	6KIX;6W5N;7MBM	1	0	PF00856(SET domain)--PF00622(SPRY domain)[pdb=11]	
Q03164	Q9Y5Z7	KMT2A	HCFC2	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q03181	Q09472	PPARD	EP300	BioGRID		1	Reconstituted Complex	16930961		0	0		
Q03181	Q13133	PPARD	NR1H3	BioGRID;CORUM		2	Reconstituted Complex;surface plasmon resonance	15722453		4	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=1205] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00104(Nuclear hormone receptor, ligand-binding domain)[pdb=16] | PF00105(Zinc finger, nuclear hormone receptor-type)--PF00105(Zinc finger, nuclear hormone receptor-type)[pdb=80]	
Q03181	Q13547	PPARD	HDAC1	BioGRID		1	Reconstituted Complex	18037904		0	0		
Q03181	Q15596	PPARD	NCOA2	BioGRID		2	Reconstituted Complex	15001550;16930961		2	1	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF08832(Nuclear receptor coactivator, receptor-binding domain)[pdb=62] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF16279(Nuclear receptor coactivator 2/3, DUF4927)[pdb=2]	Q15596:LIG_NRBOX--PF00104(Nuclear hormone receptor, ligand-binding domain)
Q03181	Q15788	PPARD	NCOA1	BioGRID		3	Reconstituted Complex	15001550;15888456;16930961		1	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF08832(Nuclear receptor coactivator, receptor-binding domain)[pdb=62]	
Q03181	Q8WUI4	PPARD	HDAC7	BioGRID		1	Reconstituted Complex	12970571		0	0		
Q03181	Q9UBK2	PPARD	PPARGC1A	BioGRID		1	Reconstituted Complex	19596656		0	1		Q9UBK2:LIG_NRBOX--PF00104(Nuclear hormone receptor, ligand-binding domain)
Q03181	Q9Y618	PPARD	NCOR2	BioGRID		2	Reconstituted Complex	12970571;15001550		0	0		
Q03181	Q9Y6Q9	PPARD	NCOA3	BioGRID		2	Reconstituted Complex	15001550;15888456		2	0	PF00104(Nuclear hormone receptor, ligand-binding domain)--PF08832(Nuclear receptor coactivator, receptor-binding domain)[pdb=62] | PF00104(Nuclear hormone receptor, ligand-binding domain)--PF16279(Nuclear receptor coactivator 2/3, DUF4927)[pdb=2]	
Q03188	Q6FI13	CENPC	H2AC18	PDB		1	EM		6SE6;6SEE;6SEF	2	0	PF15620(CENP-C, middle DNMT3B-binding domain)--PF00125(Core Histone H2A/H2B/H3 domain)[pdb=28] | PF15620(CENP-C, middle DNMT3B-binding domain)--PF16211(Histone H2A, C-terminal domain)[pdb=15]	
Q03188	Q93077	CENPC	H2AC6	PDB		1	EM		6MUO;6MUP;7PII;7R5R;7YWX;7YYH	2	0	PF15620(CENP-C, middle DNMT3B-binding domain)--PF00125(Core Histone H2A/H2B/H3 domain)[pdb=28] | PF15620(CENP-C, middle DNMT3B-binding domain)--PF16211(Histone H2A, C-terminal domain)[pdb=15]	
Q03188	Q96IY1	CENPC	NSL1	PDB		1	X-ray		5LSJ;5LSK	1	0	PF15622(Kinetochore assembly subunit CENP-C, N-terminal domain)--PF08641(Kinetochore Mis14/Nsl1)[pdb=1]	
Q03468	Q93009	ERCC6	USP7	BioGRID		1	Reconstituted Complex	31775559		0	0		
Q03933	Q13618	HSF2	CUL3	BioGRID		1	Reconstituted Complex	19768582		0	0		
Q03933	Q92793	HSF2	CREBBP	BioGRID		2	Reconstituted Complex	36385105		0	0		
Q03936	Q13263	ZNF92	TRIM28	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
Q03989	Q92731	ARID5A	ESR2	CORUM		0	luminiscence technology;two hybrid	15941852		0	0		
Q04206	Q04864	RELA	REL	BioGRID;Human Protein Atlas (HPA)	intact_biogrid_opencell	2	Reconstituted Complex	11967310;8139561		1	0	PF01833(IPT domain)--PF01833(IPT domain)[pdb=61]	
Q04206	Q06609	RELA	RAD51	BioGRID		1	Reconstituted Complex	20890127		0	0		
Q04206	Q07869	RELA	PPARA	BioGRID		1	Reconstituted Complex	10542237		0	0		
Q04206	Q08211	RELA	DHX9	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	15355351		0	0		
Q04206	Q09472	RELA	EP300	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	4	Reconstituted Complex	10235267;11585920;12960163;9096323		0	0		
Q04206	Q13485	RELA	SMAD4	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q04206	Q13547	RELA	HDAC1	BioGRID;Human Protein Atlas (HPA);IntAct	intact_biogrid	5	Reconstituted Complex;pull down	11564889;11931769		0	0		
Q04206	Q14145	RELA	KEAP1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	21262351		0	0		
Q04206	Q14686	RELA	NCOA6	BioGRID		1	Reconstituted Complex	10847592		0	0		
Q04206	Q15561	RELA	TEAD4	BioGRID		1	Reconstituted Complex	24213609		0	0		
Q04206	Q15910	RELA	EZH2	BioGRID		2	Reconstituted Complex	21884980		0	0		
Q04206	Q16236	RELA	NFE2L2	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q04206	Q16594	RELA	TAF9	BioGRID		1	Reconstituted Complex	15489227		0	0		
Q04206	Q86X55	RELA	CARM1	BioGRID		1	Reconstituted Complex	15616592		0	0		
Q04206	Q8N6T7	RELA	SIRT6	BioGRID;Human Protein Atlas (HPA);IntAct	intact_biogrid	3	Reconstituted Complex;pull down	19135889		0	0		
Q04206	Q8TBK2	RELA	SETD6	BioGRID;PDB		3	Co-crystal Structure;Reconstituted Complex;X-ray	21131967;21515635	3RC0	0	0		
Q04206	Q8WTS6	RELA	SETD7	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	19262565		0	0		
Q04206	Q92769	RELA	HDAC2	BioGRID		1	Reconstituted Complex	12138131		0	0		
Q04206	Q92784	RELA	DPF3	BioGRID		1	Reconstituted Complex	22334708		0	0		
Q04206	Q92785	RELA	DPF2	BioGRID		2	Reconstituted Complex	20460684;22334708		0	0		
Q04206	Q92793	RELA	CREBBP	BioGRID;Human Protein Atlas (HPA);IntAct	intact_biogrid	9	Reconstituted Complex;pull down	10235267;10454579;11931769;12163591;12789342;16291753;9096323;9548485;9659924		0	0		
Q04206	Q92830	RELA	KAT2A	BioGRID		1	Reconstituted Complex	19339690		0	0		
Q04206	Q96RI1	RELA	NR1H4	CORUM		0	chromatin immunoprecipitation assay;coimmunoprecipitation;electrophoretic mobility shift assay	21499302		0	0		
Q04206	Q99873	RELA	PRMT1	BioGRID		1	Reconstituted Complex	18280497		0	0		
Q04206	Q9BRP0	RELA	OVOL2	BioGRID		1	Reconstituted Complex	35346238		0	0		
Q04206	Q9H9B1	RELA	EHMT1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	21131967		0	0		
Q04206	Q9HCU9	RELA	BRMS1	BioGRID		1	Reconstituted Complex	17000776		0	0		
Q04206	Q9UER7	RELA	DAXX	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q04206	Q9UJW3	RELA	DNMT3L	BioGRID		2	Reconstituted Complex	24952347		0	0		
Q04206	Q9UNL4	RELA	ING4	BioGRID		4	Reconstituted Complex	18779315;23624912;31754246		0	0		
Q04206	Q9Y618	RELA	NCOR2	BioGRID		3	Reconstituted Complex	10777532;16382138		0	0		
Q04724	Q04725	TLE1	TLE2	BioGRID;CORUM;Human Protein Atlas (HPA)	biogrid_bioplex	2	Reconstituted Complex;pull down;two hybrid	9874198		2	0	PF00400(WD40 repeat)--PF00400(WD40 repeat)[pdb=14305] | PF03920(Groucho/TLE, N-terminal Q-rich domain)--PF03920(Groucho/TLE, N-terminal Q-rich domain)[pdb=12]	
Q04724	Q05925	TLE1	EN1	BioGRID		1	Reconstituted Complex	18611861		0	0		
Q04724	Q13547	TLE1	HDAC1	BioGRID		1	Reconstituted Complex	19101520		0	0		
Q04724	Q13761	TLE1	RUNX3	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Far Western	9751710		0	0		
Q04724	Q14469	TLE1	HES1	BioGRID;Human Protein Atlas (HPA)	biogrid_bioplex	2	Reconstituted Complex	18611861;8687460		0	0		
Q04724	Q96EB6	TLE1	SIRT1	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q04724	Q96HZ4	TLE1	HES6	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q04724	Q99801	TLE1	NKX3-1	CORUM		0	pull down	10559189		0	0		
Q04724	Q9UBX0	TLE1	HESX1	BioGRID;CORUM		1	Reconstituted Complex;affinity chromatography technology;anti tag coimmunoprecipitation	11731482		0	0		
Q04724	Q9UJU2	TLE1	LEF1	BioGRID		3	Co-crystal Structure;Reconstituted Complex	15768032;9751710		0	0		
Q04724	Q9UMR3	TLE1	TBX20	CORUM		0	anti tag coimmunoprecipitation	24024827		0	0		
Q04724	Q9Y261	TLE1	FOXA2	BioGRID		1	Reconstituted Complex	10748198		0	0		
Q04725	Q14469	TLE2	HES1	BioGRID		1	Reconstituted Complex	9874198		0	0		
Q04725	Q9UJU2	TLE2	LEF1	BioGRID		1	Reconstituted Complex	15768032		0	0		
Q04864	Q09472	REL	EP300	BioGRID		3	Reconstituted Complex	19948376;21232847;24529102		0	0		
Q04864	Q16236	REL	NFE2L2	Human Protein Atlas (HPA)	intact_biogrid	0				0	0		
Q04864	Q92785	REL	DPF2	BioGRID		1	Reconstituted Complex	20460684		0	0		
Q04864	Q92793	REL	CREBBP	BioGRID		1	Reconstituted Complex	19948376		0	0		
Q05066	Q09472	SRY	EP300	BioGRID		1	Reconstituted Complex	15297880		0	0		
Q05066	Q86Y25	SRY	ZNF354C	BioGRID		2	Reconstituted Complex	19850934		0	0		
Q05066	Q96GC6	SRY	ZNF274	BioGRID		2	Reconstituted Complex	19850934		0	0		
Q05195	Q13547	MXD1	HDAC1	BioGRID		1	Reconstituted Complex	11101889		0	0		
Q05195	Q92769	MXD1	HDAC2	BioGRID		1	Reconstituted Complex	11101889		0	0		
Q05195	Q96ST3	MXD1	SIN3A	BioGRID		7	Co-crystal Structure;Far Western;Reconstituted Complex	10551834;11101889;11106735;15235594;20547842;7889570		0	0		
Q05215	Q9UJW3	EGR4	DNMT3L	BioGRID		1	Reconstituted Complex	24952347		0	0		
Q05516	Q13547	ZBTB16	HDAC1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	6	Reconstituted Complex	15467736;16024608;23898169;9627120;9765306		0	0		
Q05516	Q8WUI4	ZBTB16	HDAC7	BioGRID		1	Reconstituted Complex	11929873		0	0		
Q05516	Q92769	ZBTB16	HDAC2	BioGRID		1	Reconstituted Complex	15467736		0	0		
Q05516	Q96ST3	ZBTB16	SIN3A	BioGRID		3	Reconstituted Complex	11719366;9627120;9765306		0	0		
Q05516	Q9UBN7	ZBTB16	HDAC6	BioGRID		1	Reconstituted Complex	15467736		0	0		
Q05516	Q9UKV0	ZBTB16	HDAC9	CORUM		0	coimmunoprecipitation;flag tag;gst pull down;western blot	12590135		0	0		
Q05516	Q9UQL6	ZBTB16	HDAC5	BioGRID		2	Reconstituted Complex	11929873;15467736		0	0		
Q05516	Q9Y618	ZBTB16	NCOR2	BioGRID		4	Reconstituted Complex	16024608;9256429;9765306		0	0		
Q05952	Q9UGN5	TNP2	PARP2	BioGRID		2	Reconstituted Complex	19607827		0	0		
Q05BQ5	Q9H2F5	MBTD1	EPC1	BioGRID;Human Protein Atlas (HPA)	intact_biogrid	1	Reconstituted Complex	27153538		0	0		
Q05BQ5	Q9Y230	MBTD1	RUVBL2	Human Protein Atlas (HPA)	biogrid_opencell	0				0	0		
